mutant serotonin control 4.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
,,2761,E,,2761,5.344035346,2761,2762,3,,4,,,18536,-160.1010492,24,18383,3.125845671,4,0,0,0,0,0,0,2,15.37978415,1,7.897863571,,,11571,2.495322601,11571,11572,3,,7,,,34889,2.138713714,34889,34889,2,,8,,,,,,,,,
,,2764,e,,2764,17.65651707,2763,2765,4,1,6,,,18832,-164.8832908,10,18671,29.52716637,12,0,0,0,0,0,0,0,0,0,0,,,13836,2.308019578,13836,13837,3,,7,,,36569,15.79369794,36565,36576,13,1,8,,,,,,,,,
,,2770,E,,2770,65.57963987,2766,2775,11,1,4,,,19144,-126.5309221,11,18996,105.1385727,64,19156,2.751230717,4,18973,-11.31871986,6,0,0,0,0,,,13849,13.27618184,13847,13851,6,-1,7,,,41508,0.784224384,41508,41508,2,,8,,,,,,,,,
,,2786,P,,2786,4.028803314,2785,2787,4,1,7,,,19448,-83.25217265,10,19296,131.7141876,52,19455,-5.591596603,5,19281,-7.76956749,7,1,30.83460127,0,0,,,13854,8.861493215,13853,13859,8,1,7,,,43016,9.862613606,43014,43022,10,-1,8,,,,,,,,,
,,2817,P,,2817,16.65765463,2808,2818,12,-1,7,,,20224,-74.36609332,14,20033,100.5705566,40,20235,3.789955854,5,0,0,0,1,27.03316537,1,5.948102931,,,14191,10.14702695,14189,14192,5,-1,7,,,44303,0.928275653,44303,44303,2,,8,,,,,,,,,
,,2845,P,,2845,2.538609719,2845,2846,3,,7,,,21070,-104.2496625,33,20888,138.9118042,44,0,0,0,20875,-11.60624695,4,2,17.27700188,0,0,,,14333,8.076033777,14329,14337,10,-1,7,,,46390,1.379743926,46390,46390,2,,8,,,,,,,,,
,,2852,P,,2852,9.156644396,2849,2857,10,1,7,,,21404,-58.82842692,9,21230,109.8013611,46,0,0,0,21207,11.85932732,4,1,21.00241753,0,0,,,15479,16.01412267,15477,15481,6,-1,7,,,46395,5.469914937,46394,46396,4,-1,8,,,,,,,,,
,,2930,P,,2930,11.74538246,2924,2932,10,-1,7,,,22626,-120.4974118,18,22452,73.34074402,15,0,0,0,0,0,0,0,0,0,0,,,15483,2.043854328,15483,15484,3,,7,,,46565,10.00662951,46561,46569,10,-1,8,,,,,,,,,
,,2943,R,,2943,143.6740697,2941,2946,7,-1,3,,,22922,-129.826746,10,22760,86.43631744,17,22955,-23.81185341,13,0,0,0,1,2.56392762,0,0,,,15808,6.269688283,15805,15809,6,-1,7,,,49673,4.284711356,49672,49675,5,-1,8,,,,,,,,,
,,2985,r,,2985,1.115578675,2985,2985,2,,5,,,23594,-78.4396703,10,23415,95.15342712,25,0,0,0,23398,16.97263336,6,2,16.94178087,1,2.419876352,,,16115,1.115578675,16115,16115,2,,7,,,51071,6.918263882,51069,51073,6,1,8,,,,,,,,,
,,2987,r,,2987,0.817825984,2987,2987,2,,5,,,25705,-46.13445858,8,25433,39.61297989,15,0,0,0,0,0,0,1,3.577335041,1,8.716061332,,,16396,20.12677262,16390,16401,13,-1,7,,,51424,8.575013842,51423,51426,5,1,8,,,,,,,,,
,,3056,i,,3056,8.623582332,3054,3058,6,-1,8,,,27053,-310.183662,11,26841,70.34056091,13,0,0,0,26828,71.45239258,14,1,13.67575043,0,0,,,16435,0.928275653,16435,16435,2,,7,,,53502,15.0502403,53499,53511,14,1,8,,,,,,,,,
,,3059,r,,3059,2.308019578,3059,3060,3,,5,,,28212,-412.1425892,12,28006,78.20546722,14,28257,12.22167778,6,27990,-21.94601822,20,0,0,0,0,,,16446,0.928275653,16446,16446,2,,7,,,54198,14.92462545,54195,54199,6,1,8,,,,,,,,,
,,3734,i,,3734,4.671870989,3734,3735,3,,8,,,28530,-332.4002825,10,28358,-7.062279701,6,0,0,0,0,0,0,0,0,0,0,,,16924,17.99831378,16922,16932,12,-1,7,,,55180,7.990472018,55178,55183,7,1,8,,,,,,,,,
,,3737,i,,3737,1.856551305,3737,3738,3,,8,,,28877,-254.0640094,12,28706,66.21775055,17,0,0,0,28692,38.92699051,13,0,0,0,0,,,18457,4.165977988,18456,18460,6,1,7,,,58253,8.295566658,58251,58258,9,-1,8,,,,,,,,,
,,4222,e,,4222,29.08629735,4209,4229,22,-1,6,,,29244,-197.5138747,9,29069,63.87379837,19,0,0,0,29049,24.92861938,18,1,23.92947655,0,0,,,18466,11.21380616,18464,18469,7,1,7,,,58261,2.633552526,58261,58261,2,,8,,,,,,,,,
,,4237,E,,4237,80.0329308,4230,4246,18,1,4,,,29969,-195.031335,11,29773,61.89356232,15,29981,-33.51391983,16,29762,2.751230717,4,2,32.37879496,0,0,,,18667,3.205321632,18667,18667,2,,7,,,61993,7.3336682,61989,61995,8,1,8,,,,,,,,,
,,4268,P,,4268,41.97669185,4265,4275,12,-1,7,,,31173,-207.2440382,8,30944,103.7395401,30,0,0,0,0,0,0,1,25.40137804,0,0,,,19336,30.83460127,19334,19338,6,-1,7,,,63290,12.87318793,63287,63294,9,1,8,,,,,,,,,
,,4315,P,,4315,6.296344699,4312,4318,8,-1,7,,,31521,-178.5539851,10,31324,66.33276367,17,0,0,0,0,0,0,1,18.65736743,0,0,,,20064,27.03316537,20061,20067,8,-1,7,,,65160,13.34478091,65157,65164,9,1,8,,,,,,,,,
,,4496,R,,4496,197.8315688,4492,4500,10,-1,3,,,31847,-178.6973881,10,31662,101.4398956,27,31862,5.887845039,4,31646,-19.49802971,5,2,18.14171455,0,0,,,20929,10.20609711,20927,20933,8,-1,7,,,65514,4.692913716,65512,65515,5,1,8,,,,,,,,,
,,5089,e,,5089,26.55443567,5086,5099,15,-1,6,,,32168,-207.7526827,12,32006,66.04431152,23,32182,-33.44049072,15,31992,5.10390377,7,1,13.93424582,0,0,,,20956,7.07090477,20953,20960,9,-1,7,,,65595,7.265089671,65593,65598,7,1,8,,,,,,,,,
